maTin,giaCa,dienTich,ngayDangTin,ngayHetHan,soTang,phapLy,soPhongNgu,soPhongTam,latitude,longitude,Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Truyền hình cáp,Internet,Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ,Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm,Biệt thự liền kề,Biệt thự nghỉ dưỡng,Bất động sản khác,Căn hộ Cao cấp,Căn hộ Officetel,Căn hộ Penthouse,Căn hộ Tập thể,Căn hộ chung cư,Căn hộ mini,Căn hộ rẻ,Căn hộ trung cấp,Cửa hàng kiot,Khách sạn,Mặt bằng bán lẻ,Nhà biệt thự,Nhà mặt phố,Nhà phố Shophouse,Nhà riêng,Nhà rẻ,"Nhà trọ, phòng trọ",Văn phòng,ngayDangTin_ts,phongTam/dientich,phongngu/dientich,Overall_S
511209,2.8,35.0,2020-09-04,2020-10-19,5.0,0,3.0,4.0,21.0289833,105.8297637,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.11428571428571428,0.08571428571428572,175.0
511207,2.6,40.0,2020-09-04,2020-10-19,3.0,0,4.0,3.0,21.0368376,105.8731963,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.075,0.1,120.0
511206,3.1,28.0,2020-09-04,2020-10-19,6.0,0,4.0,5.0,21.0289833,105.8297637,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.17857142857142858,0.14285714285714285,168.0
511204,4.1,46.0,2020-09-04,2020-10-19,4.0,0,3.0,3.0,21.0289833,105.8297637,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.06521739130434782,0.06521739130434782,184.0
511203,0.256,190.0,2020-09-04,2020-10-19,3.0,0,6.0,4.0,21.0852602,105.816961,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.021052631578947368,0.031578947368421054,570.0
511201,2.65,40.0,2020-09-04,2020-10-19,2.0,0,4.0,3.0,21.0353698,105.8192143,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.075,0.1,80.0
511200,0.256,190.0,2020-09-04,2020-10-19,3.0,0,6.0,4.0,21.0852602,105.816961,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.021052631578947368,0.031578947368421054,570.0
511194,3.2,81.0,2020-09-04,2020-10-19,4.0,0,4.0,3.0,21.0548635,105.8884966,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.037037037037037035,0.04938271604938271,324.0
511193,38.0,32.0,2020-09-04,2020-10-19,5.0,1,3.0,3.0,21.0008143,105.8517814,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.09375,0.09375,160.0
511192,4.256,133.0,2020-09-04,2020-10-19,1.0,0,3.0,3.0,21.03152,105.7600437,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.022556390977443608,0.022556390977443608,133.0
511191,2.95,30.0,2020-09-04,2020-10-19,5.0,0,4.0,3.0,20.9984191,105.8686194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.1,0.13333333333333333,150.0
511190,2.6,35.0,2020-09-04,2020-10-19,4.0,1,3.0,3.0,20.9686922,105.7611004,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.08571428571428572,0.08571428571428572,140.0
511186,3.5,30.0,2020-09-04,2020-10-19,5.0,0,3.0,3.0,21.0221606,105.771796,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.1,0.1,150.0
511185,2.6,32.0,2020-09-04,2020-10-19,4.0,1,3.0,4.0,20.9724114,105.7615252,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.125,0.09375,128.0
511184,17.0,86.0,2020-09-04,2020-10-19,1.0,0,1.0,1.0,21.0166093,105.8575429,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,737672.0,0.011627906976744186,0.011627906976744186,86.0
511183,1.75,24.0,2020-09-04,2020-11-03,3.0,1,2.0,2.0,20.9966262,105.8628759,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,737672.0,0.08333333333333333,0.08333333333333333,72.0
